=====Start_data=====
Date: 13/02/2022, Time: 00:00
Notes: filter and calibrated data
Collection period (s): 60.00, Sampling Frequency (Hz): 50.00
Counter, Distance(mm)
1089, 113.45, 139.06
1090, 113.49, 138.91
1091, 113.46, 138.60
1092, 113.35, 138.27
1093, 113.15, 137.98
1094, 112.84, 137.83
1095, 112.45, 137.82
1096, 112.15, 137.93
1097, 112.01, 137.95
1098, 112.07, 137.84
1099, 112.27, 137.72
1100, 112.56, 137.67
1101, 112.94, 137.71
1102, 113.40, 137.78
1103, 113.92, 137.84
1104, 114.39, 137.97
1105, 114.78, 138.18
1106, 115.14, 138.43
1107, 115.51, 138.66
1108, 115.80, 138.84
1109, 115.95, 139.03
1110, 115.96, 139.24
1111, 115.83, 139.40
1112, 115.60, 139.48
1113, 115.33, 139.45
1114, 115.06, 139.47
1115, 114.81, 139.56
1116, 114.54, 139.80
1117, 114.24, 140.18
1118, 113.99, 140.64
1119, 113.83, 141.14
1120, 113.78, 141.65
1121, 113.78, 142.24
1122, 113.81, 142.90
1123, 113.87, 143.62
1124, 113.95, 144.31
1125, 114.07, 144.94
1126, 114.17, 145.52
1127, 114.25, 146.04
