MS,MPT,t (ms),PWMi,PWMe,Pressure (Psi),LW raw(V),Displacement (mm),t_rel(s),LW (V),delta d (m),delta t (s),vel (m/s),strain,strain rate (1/s),dv/dt raw,dv/dt
4,5,90434,205,0,55.51,0.24,11.91,2.53,0.23113108859103987,-7.299356789175704e-06,0.04400000000000004,-0.00016589447248126584,0.07683870967741936,0.0,0.0,0.035662278225206165
4,5,90456,205,0,55.51,0.23,11.91,2.552,0.23185027786858148,-7.302955361868868e-06,0.04400000000000004,-0.00016597625822429232,0.07683870967741936,0.0,-0.22727272727272665,0.029718565187671176
4,5,90478,205,0,55.51,0.23,11.91,2.574,0.2324387054592974,-5.051778547647601e-06,0.04400000000000004,-0.00011481314881017264,0.07683870967741936,0.014662756598240368,0.0,0.023774852150138706
4,5,90500,205,0,55.51,0.23,12.01,2.596,0.23289637136318758,-2.67338208450596e-07,0.04300000000000015,-6.217167638385931e-06,0.07748387096774194,0.015003750937734291,0.0,0.018245816766385148
4,5,90521,205,0,55.51,0.23,12.01,2.617,0.23322327558025197,7.1846770570953565e-06,0.04400000000000004,0.00016328811493398522,0.07748387096774194,0.0,0.0,-0.0008172605426608563
4,5,90544,205,0,55.51,0.23,12.01,2.64,0.2328604118993105,1.7243983224606297e-05,0.04400000000000004,0.00039190870965014274,0.07748387096774194,0.0,0.0,-0.012407500965853649
4,5,90565,205,0,55.51,0.23,12.01,2.661,0.2326773455377544,2.9606436731821616e-05,0.04599999999999982,0.0006436181898222115,0.07748387096774194,0.0,0.21739130434782653,-0.004761430987678401
4,5,90590,205,0,55.62,0.24,12.01,2.686,0.2326413860738773,4.368197630132009e-05,0.04700000000000015,0.0009294037510919138,0.07748387096774194,0.0,0.21276595744680743,0.012797952327627442
4,5,90612,205,0,55.51,0.24,12.01,2.708,0.2332788492971529,5.8566715630114176e-05,0.04400000000000004,0.0013310617188662301,0.07748387096774194,0.0,0.0,0.023774852150138706
4,5,90634,205,0,55.62,0.24,12.01,2.73,0.2336874795684834,7.303592393411939e-05,0.042999999999999705,0.0016985098589330208,0.07748387096774194,0.0,-0.23255813953488488,0.013684362574789003
4,5,90655,205,0,55.62,0.23,12.01,2.751,0.23386727688786882,8.556356083717631e-05,0.04400000000000004,0.0019446263826630962,0.07748387096774194,0.0,-0.22727272727272665,0.023477666498260885
4,5,90678,205,0,55.62,0.23,12.01,2.774,0.23472049689440688,9.437233159729353e-05,0.04400000000000004,0.0021448257181203054,0.07748387096774194,0.0,0.0,0.021620256174032067
4,5,90699,205,0,55.62,0.23,12.01,2.795,0.23481856815952623,9.75159846253355e-05,0.04400000000000004,0.0022162723778485324,0.07748387096774194,0.0,0.0,0.0
4,5,90722,205,0,55.62,0.23,12.01,2.818,0.23472049689440688,9.299282805505449e-05,0.04400000000000004,0.0021134733648876,0.07748387096774194,0.0,0.0,0.0037891170614277217
4,5,90743,205,0,55.62,0.23,12.01,2.839,0.23498528931022905,7.888628008957354e-05,0.04400000000000004,0.0017928700020357607,0.07748387096774194,0.0,0.22727272727272665,0.025929448126243454
4,5,90766,205,0,55.62,0.24,12.01,2.862,0.2358613926119616,5.3524838850421476e-05,0.04599999999999982,0.0011635834532700367,0.07748387096774194,0.0,0.21739130434782653,0.050741219779125935
4,5,90789,205,0,55.62,0.24,12.01,2.885,0.23731938542006883,1.565039587727668e-05,0.04599999999999982,0.00034022599733210307,0.07748387096774194,0.012622720897615682,0.0,0.04576659038901586
4,5,90812,205,0,55.62,0.24,12.1,2.908,0.23796665576985632,-3.541930231219759e-05,0.04400000000000004,-0.0008049841434590354,0.07806451612903226,0.0,-0.22727272727272665,0.02184314541293917
4,5,90833,205,0,55.62,0.23,12.01,2.929,0.23828048381823816,-9.965048044889891e-05,0.04400000000000004,-0.0022647836465658822,0.07748387096774194,0.0,-0.22727272727272665,-0.026152337365151188
4,5,90856,205,0,55.73,0.23,12.1,2.952,0.23681595292578966,-0.00017619270354933824,0.04400000000000004,-0.00400437962612132,0.07806451612903226,0.01319648093841633,0.0,-0.09316770186335213
4,5,90877,0,255,55.73,0.23,12.1,2.973,0.23418110493625066,-0.00026333410236302333,0.04400000000000004,-0.005984865962795979,0.07806451612903226,-0.01319648093841633,0.0,-0.18477517905435265
4,5,90900,0,255,55.51,0.23,12.01,2.996,0.22868584504739814,-0.0003585258691869644,0.04400000000000004,-0.008148315208794638,0.07748387096774194,0.0,0.0,-0.2994888406787693
4,5,90921,0,255,55.4,0.23,12.1,3.017,0.2210035959463848,-0.0004584843467126465,0.04400000000000004,-0.010420098788923774,0.07806451612903226,0.01319648093841633,0.0,-0.39555410264791885
4,5,90944,0,255,53.86,0.23,12.1,3.04,0.2112814645308897,-0.0005593714584961056,0.04499999999999993,-0.012430476855469032,0.07806451612903226,-0.041577060931899765,-0.22222222222222276,-0.4858523119392618
4,5,90966,0,255,52.09,0.22,11.81,3.062,0.19914024190911805,-0.0006570440132267965,0.04599999999999982,-0.014283565504930415,0.07619354838709677,-0.1107994389901827,-0.6521739130434808,-0.5569452932899303
4,5,90990,0,255,49.23,0.2,11.31,3.086,0.185661981039553,-0.0007473503566528841,0.04600000000000026,-0.016246746883758257,0.07296774193548387,-0.1669004207573622,-1.086956521739124,-0.6029961482155185
4,5,91012,0,255,46.48,0.17,10.62,3.108,0.17140241909120404,-0.0008264418483782627,0.04400000000000004,-0.018782769281324135,0.06851612903225807,-0.20381231671554237,-1.1363636363636358,-0.6525453951083148
4,5,91034,0,255,44.06,0.15,9.92,3.13,0.15694998365478713,-0.0008910611258127457,0.04400000000000004,-0.02025138922301693,0.064,-0.18914956011730186,-0.9090909090909085,-0.6677018633540276
